item_key,term,component,Estimate,Std. Error,z value,Pr(>|z|),estimate,SE,z.ratio,p.value,p.value.raw,conf.low,conf.high,lower.CL,upper.CL,p.value.holm,holm_reject_0.05
r1,industry_roleMiddle Management,location,0.264610558237518,0.28215475275510427,0.9378206663319483,0.3483365786495895,0.264610558237518,0.28215475275510427,0.9378206663319483,0.3483365786495895,0.3483365786495895,-0.2884025952292898,0.8176237117043258,-0.2884025952292898,0.8176237117043258,0.696673157299179,FALSE
r1,industry_roleUpper Management,location,-0.01874152459339163,0.33794713648859714,-0.055456971134963284,0.9557744092247963,-0.01874152459339163,0.33794713648859714,-0.055456971134963284,0.9557744092247963,0.9557744092247963,-0.6811057407894838,0.6436226916027006,-0.6811057407894838,0.6436226916027006,0.9557744092247963,FALSE
r2,industry_roleMiddle Management,location,-0.10657863372508615,0.22816133956638227,-0.467119600225163,0.6404143118205132,-0.10657863372508615,0.22816133956638227,-0.467119600225163,0.6404143118205132,0.6404143118205132,-0.5537666419396089,0.3406093744894366,-0.5537666419396089,0.3406093744894366,0.7514004646548881,FALSE
r2,industry_roleUpper Management,location,0.24026598290736045,0.27122754865434745,0.8858465303373573,0.37570023232744404,0.24026598290736045,0.27122754865434745,0.8858465303373573,0.37570023232744404,0.37570023232744404,-0.29133024407024566,0.7718622098849666,-0.29133024407024566,0.7718622098849666,0.7514004646548881,FALSE
r3,industry_roleMiddle Management,location,-0.41999153461682576,0.2727509388268539,-1.5398353399745481,0.1236004952294349,-0.41999153461682576,0.2727509388268539,-1.5398353399745481,0.1236004952294349,0.1236004952294349,-0.9545735514669467,0.11459048223329521,-0.9545735514669467,0.11459048223329521,0.2472009904588698,FALSE
r3,industry_roleUpper Management,location,-0.20668943239706605,0.32405581955119445,-0.6378204615591333,0.5235905583928202,-0.20668943239706605,0.32405581955119445,-0.6378204615591333,0.5235905583928202,0.5235905583928202,-0.8418271676980177,0.4284483029038856,-0.8418271676980177,0.4284483029038856,0.5235905583928202,FALSE
