item_key,model,nobs,logLik,AIC,BIC
r1,no_interface_adjusted_for_role,402,-684.201620968342,1390.403241936684,1434.3642149114933
r1,no_complexity_adjusted_for_role,402,-743.9323007543264,1507.8646015086529,1547.8291223948431
r1,additive_adjusted_for_role,402,-683.856833186891,1391.713666373782,1439.6710914372102
r2,no_interface_adjusted_for_role,402,-714.6777668759521,1451.3555337519042,1495.3165067267134
r2,no_complexity_adjusted_for_role,402,-763.8975378892169,1547.7950757784338,1587.759596664624
r2,additive_adjusted_for_role,402,-714.3993723109384,1452.7987446218767,1500.756169685305
r3,no_interface_adjusted_for_role,402,-684.8659342133335,1391.731868426667,1435.6928414014762
r3,no_complexity_adjusted_for_role,402,-720.5594282624791,1461.1188565249581,1501.0833774111484
r3,additive_adjusted_for_role,402,-681.3709567866915,1386.741913573383,1434.6993386368113
