no.par,AIC,logLik,LR.stat,df,Pr(>Chisq)
22,2065.222024974314,-1010.611012487157,NA,NA,NA
24,2052.7621425836205,-1002.3810712918103,16.459882390693565,2,2.665520042899372e-4
