term,component,Estimate,Std. Error,z value,Pr(>|z|),estimate,SE,z.ratio,p.value,p.value.raw,conf.low,conf.high,lower.CL,upper.CL,p.value.holm,holm_reject_0.05,supports_h2_attenuation,ci_excludes_zero
interface_conddashboard:task_complexitymid,location,-0.8236698268211312,0.2543474058115891,-3.2383653538470707,0.0012021675113470113,-0.8236698268211312,0.2543474058115891,-3.2383653538470707,0.0012021675113470113,0.0012021675113470113,-1.3221815817730393,-0.3251580718692231,-1.3221815817730393,-0.3251580718692231,0.0012021675113470113,TRUE,TRUE,TRUE
interface_conddashboard:task_complexityhard,location,-0.9621669019833685,0.255602056318526,-3.7643159677257683,1.6700560766131798e-4,-0.9621669019833685,0.255602056318526,-3.7643159677257683,1.6700560766131798e-4,1.6700560766131798e-4,-1.4631377267420578,-0.46119607722467915,-1.4631377267420578,-0.46119607722467915,3.3401121532263597e-4,TRUE,TRUE,TRUE
