industry_role,n,mean,std,median,iqr
Junior Management,21,202.57490476190478,85.74744637027862,206.0013333333333,139.72799999999998
Middle Management,85,225.21609019607843,79.04447408894805,226.56033333333335,118.10133333333334
Upper Management,28,205.97340476190476,72.11894012881325,197.30383333333333,119.81816666666668
