analysis_role,contrast_code,label,from_dl,to_dl,diff_of_diffs_time_s,diff_of_diffs_time_CI_low_boot,diff_of_diffs_time_CI_high_boot,ratio_of_TR,ratio_of_TR_CI_low_boot,ratio_of_TR_CI_high_boot,log_effect,SE_robust,z,p_value,ratioTR_model,ratioTR_CI_low,ratioTR_CI_high,p_value_holm,holm_reject,holm_alpha,holm_family,holm_n_tests,holm_significant
PRIMARY moderation contrast,high_vs_low,[dashboard/chatbot]@high / [dashboard/chatbot]@low,low,high,4.285097802668304,-70.26242237430552,81.41558707430495,1.002824706199682,0.6635325792224669,1.5271085215682283,0.00282072421398866,0.1945790302919548,0.014496547802485823,0.9884338334296625,1.002824706199682,0.6848556674971162,1.4684223831274827,1.0,False,0.05,internal_did_contrasts,3,No
EXPLORATORY follow-up contrast,medium_vs_low,[dashboard/chatbot]@medium / [dashboard/chatbot]@low,low,medium,-8.530066306620313,-81.03236144885327,63.90417591787029,0.9495460576352058,0.6344796062825674,1.416894061953757,-0.05177124265483354,0.19196272042265342,-0.2696942538678674,0.7873954815510631,0.9495460576352058,0.6518040747541963,1.383295610587554,1.0,False,0.05,internal_did_contrasts,3,No
EXPLORATORY follow-up contrast,high_vs_medium,[dashboard/chatbot]@high / [dashboard/chatbot]@medium,medium,high,12.815164109288617,-41.60765482796534,68.77578881491866,1.0561095990405813,0.8282730142372954,1.3612269389701983,0.05459196686882219,0.11723368124512053,0.4656679402114604,0.6414532038020532,1.0561095990405813,0.8393043994095292,1.3289189070977647,1.0,False,0.05,internal_did_contrasts,3,No
