CELL__chatbot__low,CELL__chatbot__medium,CELL__chatbot__high,CELL__dashboard__low,CELL__dashboard__medium,CELL__dashboard__high,SIMPLE_DIFF__low,SIMPLE_RATIO__low,SIMPLE_PCT__low,SIMPLE_DIFF__medium,SIMPLE_RATIO__medium,SIMPLE_PCT__medium,SIMPLE_DIFF__high,SIMPLE_RATIO__high,SIMPLE_PCT__high,DL_DIFF__chatbot__high_vs_low,DL_RATIO__chatbot__high_vs_low,DL_DIFF__dashboard__high_vs_low,DL_RATIO__dashboard__high_vs_low,DID_DIFF__high_vs_low,DID_RATIO__high_vs_low,DL_DIFF__chatbot__medium_vs_low,DL_RATIO__chatbot__medium_vs_low,DL_DIFF__dashboard__medium_vs_low,DL_RATIO__dashboard__medium_vs_low,DID_DIFF__medium_vs_low,DID_RATIO__medium_vs_low,DL_DIFF__chatbot__high_vs_medium,DL_RATIO__chatbot__high_vs_medium,DL_DIFF__dashboard__high_vs_medium,DL_RATIO__dashboard__high_vs_medium,DID_DIFF__high_vs_medium,DID_RATIO__high_vs_medium,OVERALL__chatbot,OVERALL__dashboard,OVERALL__diff,OVERALL__ratio
173.0149419898196,242.18671411411805,213.82407650476878,209.18098072906912,220.2366483847599,240.6408803515922,36.16603873924953,1.2090341927888377,20.903419278883774,-21.95006572935816,0.9093671764380299,-9.06328235619701,26.816803846823404,1.1254152679397884,12.541526793978841,40.80913451494919,1.2358705788390834,31.459899622523068,1.1503956024724344,-9.349234892426125,0.9308382464716167,69.17177212429846,1.3998023022102253,11.055667655690769,1.052852164748238,-58.11610446860769,0.7521434727502814,-28.362637609349264,0.8828893743692942,20.4042319668323,1.0926468510871339,48.76686957618156,1.237580701282857,226.31187655378028,224.8728504118707,-1.4390261419095793,0.9936414024583123
165.93340799102282,209.0947017623925,201.55810975180611,240.4196456321093,243.17651776990766,227.5131788878356,74.48623764108649,1.4488923511118164,44.889235111181634,34.08181600751516,1.1629970330202077,16.299703302020774,25.955069136029493,1.1287721400443274,12.877214004432735,35.624701760783296,1.2146927625491224,-12.9064667442737,0.9463169213549911,-48.531168505056996,0.7790586644881906,43.161293771369685,1.260112139525904,2.7568721377983536,1.0114669170672388,-40.40442163357133,0.8026800832565474,-7.536592010586389,0.9639560833102758,-15.663338882072054,0.9355886044190639,-8.126746871485665,0.9705718140251811,203.26353062881802,238.6950150684331,35.431484439615076,1.17431304243316
185.09174387484788,244.89438427481804,269.90361564333364,185.19043533409976,230.0697940211832,237.07100821823727,0.0986914592518815,1.0005332029251321,0.053320292513214795,-14.824590253634824,0.9394653728074106,-6.05346271925894,-32.83260742509637,0.878354325314103,-12.164567468589704,84.81187176848576,1.4582153152429769,51.88057288413751,1.2801471511773295,-32.93129888434825,0.8778862338063045,59.80264039997016,1.3230972875829972,44.87935868708345,1.242341666329134,-14.923281712886705,0.93896471407527,25.0092313685156,1.1021225188261177,7.001214197054054,1.0304308274227838,-18.008017171461546,0.934951250719663,240.1515608986936,223.80451043442653,-16.347050464267056,0.9319302760178063
180.78839064351178,206.26830628449477,263.89245862044265,190.76034143164765,216.36780863446265,245.856131376631,9.97195078813587,1.0551581368285925,5.51581368285925,10.099502349967878,1.0489629382811636,4.89629382811636,-18.036327243811655,0.9316527371107889,-6.834726288921111,83.10406797693088,1.4596759099471157,55.09578994498335,1.2888220346613555,-28.008278031947526,0.8829508152313409,25.479915640982995,1.1409377867145554,25.607467202815002,1.1342389461595221,0.1275515618320071,0.9941286539607702,57.62415233594788,1.2793650336977607,29.48832274216835,1.1362879391729972,-28.135829593779533,0.8881655424713102,212.12943826733854,216.9746655490231,4.845227281684544,1.022840899977203
148.15304182657138,213.1133870457889,207.9156937941259,177.29667303419603,196.09460822619027,243.21965531219865,29.14363120762465,1.1967130127624401,19.671301276244012,-17.018778819598623,0.9201421409723922,-7.985785902760778,35.303961518072754,1.169799407028072,16.979940702807195,59.76265196755452,1.4033845760488195,65.92298227800262,1.37182300801148,6.160330310448103,0.9775103926778224,64.96034521921752,1.4384678466153964,18.79793519199424,1.1060253126598072,-46.162410027223274,0.7688912305285098,-5.197693251662997,0.9756106675243905,47.12504708600838,1.2403179134413058,52.32274033767138,1.2713246735899366,206.35524981988195,209.30135011353494,2.9461002936529894,1.014276837135108
163.59606633324572,221.26279340006508,227.7744963237203,183.204520986918,209.09736839071294,276.27574606592736,19.608454653672283,1.1198589617291275,11.985896172912746,-12.165425009352134,0.9450182074337468,-5.498179256625324,48.50124974220705,1.2129353835702288,21.29353835702288,64.1784299904746,1.3922981244533283,93.07122507900937,1.508018167770299,28.89279508853477,1.0831144144235683,57.66672706681936,1.352494582292413,25.892847403794946,1.141333015497166,-31.773879663024417,0.8438725229957384,6.5117029236552355,1.0294297239205574,67.17837767521442,1.3212779682128135,60.666674751559185,1.283504776975702,213.12533259903316,217.05068472924862,3.925352130215458,1.0184180457684047
153.36683517145306,208.26796702908413,226.6221947777556,144.91089606739223,225.3942780845988,249.02164790332387,-8.455939104060832,0.9448646176038796,-5.513538239612037,17.126311055514662,1.082232094065253,8.2232094065253,22.39945312556827,1.0988405091899098,9.884050918990983,73.25535960630253,1.4776479838317609,104.11075183593164,1.7184466776571026,30.855392229629103,1.1629607974701228,54.90113185763107,1.357972646408564,80.48338201720657,1.5553991052527685,25.582250159575494,1.14538323681728,18.354227748671462,1.0881279440640448,23.62736981872507,1.104826839525433,5.273142070053609,1.0153464448298426,207.0077820784148,222.5678076515776,15.56002557316279,1.0751663798188449
191.21479446897598,197.58930815005675,191.02227181045006,147.6011701289323,232.58474835681247,227.82300207947566,-43.613624340043685,0.7719129188661191,-22.808708113388086,34.99544020675572,1.177112013470784,17.711201347078397,36.80073026902559,1.1926515160784115,19.265151607841148,-0.19252265852591677,0.9989931602360551,80.22183195054336,1.543504037809918,80.41435460906928,1.5450596653186275,6.374513681080771,1.0333369271911386,84.98357822788017,1.575764935695601,78.6090645467994,1.524928505147796,-6.5670363396066875,0.9667642120867217,-4.761746277336812,0.9795268335048706,1.8052900622698758,1.0132013796731278,195.21065370294406,220.6413248889115,25.43067118596744,1.130272967707315
158.4583083449369,228.6720034744186,216.1255170415773,138.5057273335077,209.0344203988056,242.7157637755368,-19.952581011429203,0.874083087091932,-12.591691290806795,-19.63758307561301,0.9141233610706968,-8.587663892930319,26.590246733959503,1.1230315008516287,12.303150085162873,57.66720869664039,1.3639266965485246,104.2100364420291,1.7523879224943668,46.542827745388706,1.2848109263707945,70.21369512948169,1.4431051666703292,70.52869306529789,1.5092113836958667,0.3149979358161943,1.0458083156739462,-12.546486432841306,0.9451332640541418,33.681343376731206,1.1611282166471548,46.22782980957251,1.2285338595178685,222.0281858493659,217.1460126723972,-4.882173176968706,0.9780110207256254
192.54360394899172,216.54177655837785,221.38225606037136,162.09036639015238,223.5877531664594,236.83422678607724,-30.453237558839334,0.8418371894248591,-15.816281057514093,7.04597660808156,1.0325386478307663,3.253864783076632,15.451970725705877,1.0697976929166901,6.9797692916690135,28.838652111379645,1.1497772531515487,74.74386039592486,1.4611246310346166,45.90520828454521,1.2707893003011348,23.99817260938613,1.1246375995732565,61.497386776307025,1.3794018617262083,37.49921416692089,1.2265300948942317,4.840479501993514,1.0223535595713955,13.24647361961783,1.0592450768524693,8.405994117624317,1.0360848915090988,214.36550572730562,218.21455770780835,3.849051980502736,1.0179555566435168
