analysis_role,interface,from_dl,to_dl,pred_time_from_s,pred_time_to_s,diff_time_s,diff_time_CI_low_boot,diff_time_CI_high_boot,ratio_time_to_from,ratio_time_CI_low_boot,ratio_time_CI_high_boot,log_effect,SE_robust,z,p_value,TR,TR_CI_low,TR_CI_high,p_value_holm,holm_reject,holm_alpha,holm_family,holm_n_tests,holm_significant
PRIMARY low-vs-high contrast,chatbot,low,high,165.37337400545897,226.51227523473847,61.1389012292795,0.38962461892245853,116.68399489531774,1.3697022062769386,1.0017288719939186,1.884264348101116,0.3145933485311879,0.1449877299961844,2.169792909644609,0.030022537751485227,1.369702206276938,1.0308901162093516,1.8198681938850978,0.09006761325445568,False,0.05,dl_effects_within_interface | interface=chatbot,3.0,No
EXPLORATORY follow-up contrast,chatbot,low,medium,165.37337400545897,220.26826826693565,54.89489426147668,1.9411818795779932,105.72507190190667,1.331945179153596,1.009028430994917,1.8180289823252578,0.2866404144796383,0.1415687458484338,2.024743616691505,0.042893697398251586,1.3319451791535952,1.0092129516467034,1.7578826722108465,0.09006761325445568,False,0.05,dl_effects_within_interface | interface=chatbot,3.0,No
EXPLORATORY follow-up contrast,chatbot,medium,high,220.26826826693565,226.51227523473847,6.244006967802818,-39.45011720267099,50.46869013644324,1.0283472831421905,0.832782977914646,1.25341659391058,0.02795293405154964,0.09931273753674481,0.28146373511461514,0.7783547393854438,1.0283472831421905,0.8464565102178534,1.249323647441444,0.7783547393854438,False,0.05,dl_effects_within_interface | interface=chatbot,3.0,No
PRIMARY low-vs-high contrast,dashboard,low,high,175.13126500896703,240.55526404091484,65.4239990319478,13.247318554611958,113.15975970399056,1.3735712125907271,1.0616811380628957,1.8351799758475524,0.3174140727451766,0.1280629161866174,2.4785791406048463,0.013190684470396888,1.3735712125907265,1.068670517875745,1.7654626421324424,0.03957205341119066,True,0.05,dl_effects_within_interface | interface=dashboard,3.0,Yes
EXPLORATORY follow-up contrast,dashboard,low,medium,175.13126500896703,221.4960929638234,46.364827954856366,-5.430502283786477,93.9427007200069,1.2647432938515142,0.9764487254354616,1.6750949078366921,0.23486917182480474,0.13164914214834555,1.7840539481840927,0.07441489937017205,1.2647432938515144,0.977107692396881,1.637051485510835,0.1488297987403441,False,0.05,dl_effects_within_interface | interface=dashboard,3.0,No
EXPLORATORY follow-up contrast,dashboard,medium,high,221.4960929638234,240.55526404091484,19.059171077091435,-12.69268329968503,51.9623964996801,1.0860474368737707,0.9449040892750749,1.2543628933946684,0.08254490092037184,0.06495952469960897,1.2707128215928698,0.20383083254332413,1.0860474368737698,0.956214108688244,1.2335093410806797,0.20383083254332413,False,0.05,dl_effects_within_interface | interface=dashboard,3.0,No
