model,nobs,n_params,working_corr,dep_param_est,scale,QIC,QICu
additive_adjusted_for_industry_role,402,8,exchangeable,0.2589713117327157,0.21897880447703857,1115806.045312469,465.069719028116
full_interaction_adjusted_for_industry_role,402,10,exchangeable,0.25880742548974717,0.21961394825396405,1391728.959906723,467.4565115383468
