term,Estimate_log,SE_robust,z,p,CI_low_log,CI_high_log,TR_or_ratioTR,TR_or_ratioTR_CI_low,TR_or_ratioTR_CI_high,% change,p_holm,holm_reject,holm_alpha,holm_family,holm_n_tests,holm_significant
"iface_dash:C(dl_ord, Treatment(reference='low'))[T.medium]",-0.05177124265483354,0.19196272042265342,-0.2696942538678674,0.7873954815510631,-0.4280112610575657,0.3244687757478987,0.9495460576352058,0.6518040747541963,1.383295610587554,-5.045394236479417,1.0,False,0.05,interface_by_dl_terms,2,No
"iface_dash:C(dl_ord, Treatment(reference='low'))[T.high]",0.00282072421398866,0.1945790302919548,0.014496547802485823,0.9884338334296625,-0.37854716730497096,0.38418861573294827,1.002824706199682,0.6848556674971162,1.4684223831274827,0.28247061996820033,1.0,False,0.05,interface_by_dl_terms,2,No
