interface,dl_ord,predicted_time_s,CI_low_boot,CI_high_boot
chatbot,low,165.37337400545897,124.18901106969292,213.06420835779934
chatbot,medium,220.26826826693565,190.56419604255285,248.98480096003945
chatbot,high,226.51227523473847,191.73900813110006,261.96529110922216
dashboard,low,175.13126500896703,134.71612194370567,222.98766447510516
dashboard,medium,221.4960929638234,198.5995211602675,244.03262114454827
dashboard,high,240.55526404091484,217.43875425789892,265.79017341225284
