family,label,diff_time_s,diff_time_CI_low_boot,diff_time_CI_high_boot,ratio_time,ratio_time_CI_low_boot,ratio_time_CI_high_boot,log_effect,TR_or_ratioTR,p_value,p_value_holm,holm_reject
simple_interface,dashboard/chatbot@low,9.757891003508064,-51.77420588381765,73.2467622414097,1.0590052120674878,0.7345934563019022,1.5386869022906111,0.05732998829505888,1.059005212067487,0.7414021514317988,1.0,False
simple_interface,dashboard/chatbot@medium,1.227824696887751,-34.8210466802434,37.3444413630067,1.0055742241338175,0.8579792474069066,1.1881614431382257,0.005558745640225342,1.0055742241338175,0.945205938410918,1.0,False
simple_interface,dashboard/chatbot@high,14.042988806176368,-28.7576156237657,56.04043596935124,1.0619965906555102,0.8875478714619665,1.2786451741170652,0.060150712509047535,1.0619965906555096,0.4840173411111497,1.0,False
dl_within_interface,chatbot::high_vs_low,61.1389012292795,0.38962461892245853,116.68399489531774,1.3697022062769386,1.0017288719939186,1.884264348101116,0.3145933485311879,1.369702206276938,0.030022537751485227,0.09006761325445568,False
dl_within_interface,chatbot::medium_vs_low,54.89489426147668,1.9411818795779932,105.72507190190667,1.331945179153596,1.009028430994917,1.8180289823252578,0.2866404144796383,1.3319451791535952,0.042893697398251586,0.09006761325445568,False
dl_within_interface,chatbot::high_vs_medium,6.244006967802818,-39.45011720267099,50.46869013644324,1.0283472831421905,0.832782977914646,1.25341659391058,0.02795293405154964,1.0283472831421905,0.7783547393854438,0.7783547393854438,False
dl_within_interface,dashboard::high_vs_low,65.4239990319478,13.247318554611958,113.15975970399056,1.3735712125907271,1.0616811380628957,1.8351799758475524,0.3174140727451766,1.3735712125907265,0.013190684470396888,0.03957205341119066,True
dl_within_interface,dashboard::medium_vs_low,46.364827954856366,-5.430502283786477,93.9427007200069,1.2647432938515142,0.9764487254354616,1.6750949078366921,0.23486917182480474,1.2647432938515144,0.07441489937017205,0.1488297987403441,False
dl_within_interface,dashboard::high_vs_medium,19.059171077091435,-12.69268329968503,51.9623964996801,1.0860474368737707,0.9449040892750749,1.2543628933946684,0.08254490092037184,1.0860474368737698,0.20383083254332413,0.20383083254332413,False
did,[dashboard/chatbot]@high / [dashboard/chatbot]@low,4.285097802668304,-70.26242237430552,81.41558707430495,1.002824706199682,0.6635325792224669,1.5271085215682283,0.00282072421398866,1.002824706199682,0.9884338334296625,1.0,False
did,[dashboard/chatbot]@medium / [dashboard/chatbot]@low,-8.530066306620313,-81.03236144885327,63.90417591787029,0.9495460576352058,0.6344796062825674,1.416894061953757,-0.05177124265483354,0.9495460576352058,0.7873954815510631,1.0,False
did,[dashboard/chatbot]@high / [dashboard/chatbot]@medium,12.815164109288617,-41.60765482796534,68.77578881491866,1.0561095990405813,0.8282730142372954,1.3612269389701983,0.05459196686882219,1.0561095990405813,0.6414532038020532,1.0,False
