interface_cond,emmean,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL
chatbot,-1.478293274183647,0.15525642902070974,Inf,-1.7825902834325373,-1.1739962649347566,-1.7825902834325373,-1.1739962649347566
dashboard,-0.38190373772122393,0.137460469013793,Inf,-0.6513213062862422,-0.11248616915620563,-0.6513213062862422,-0.11248616915620563
