analysis_role,contrast,diff_time,diff_time_CI_low_boot,diff_time_CI_high_boot,ratio_time,ratio_time_CI_low_boot,ratio_time_CI_high_boot,pct_change_boot_center,log_effect,SE_robust,z,p_value,p_value_holm,TR,TR_CI_low,TR_CI_high
PRIMARY contrast,mid_vs_easy,93.76433410011015,79.25937841569522,108.04989234082372,1.9358352955953846,1.7609108450092426,2.117890095043378,93.58352955953846,0.6605389106461761,0.04736169994736015,13.946689231601225,3.2955190076184795e-44,3.2955190076184795e-44,1.9358352955953841,1.7642253246733377,2.1241381354542934
PRIMARY contrast,hard_vs_easy,258.4817917732829,228.94962370459544,287.3477926181585,3.57983364710837,3.2136158878593806,3.971844265731855,257.983364710837,1.2753163320448058,0.053853068964729064,23.681404914547603,5.605932540626913e-124,1.681779762188074e-123,3.579833647108368,3.221239606436361,3.978347005098014
EXPLORATORY follow-up,hard_vs_mid,164.71745767317276,135.93321246892924,191.73430959275814,1.8492449513931184,1.686720151502072,2.010869771722357,84.92449513931184,0.6147774213986297,0.043784397714396045,14.041015829629526,8.745006127552271e-45,1.7490012255104541e-44,1.849244951393118,1.6971690169592786,2.014947748916504
