complexity,adjusted_mean,CI_low_boot,CI_high_boot
easy,100.19320124109731,91.70068436647003,108.78861293685121
mid,193.95753534120746,179.58361176503172,208.83426677148134
hard,358.6749930143802,328.3403135581514,388.60513197055775
