interface_cond,complexity,n,mean,std,median,iqr
dashboard,easy,70,118.17998571428572,50.062994466679754,121.2805,78.25400000000002
dashboard,mid,70,180.57908571428572,79.79514305544494,166.40800000000002,115.51000000000002
dashboard,hard,70,338.8902714285714,154.92055521375096,307.2555,213.90425
chatbot,easy,64,81.166125,41.488946953585845,71.81,73.55075
chatbot,mid,64,208.53328125000002,92.77667619278004,207.4095,127.75725
chatbot,hard,64,379.96675,183.62447397147685,352.15049999999997,322.50075000000004
