complexity,n,mean,std,median,iqr
easy,134,100.50172388059701,49.598595316695715,91.8255,77.434
mid,134,193.9303432835821,87.04592881533793,179.4145,127.80174999999998
hard,134,358.50888805970146,169.84440598071592,332.251,281.40149999999994
