term,component,Estimate,Std. Error,z value,Pr(>|z|),estimate,SE,z.ratio,p.value,p.value.raw,conf.low,conf.high,lower.CL,upper.CL
0|5,threshold,-1.4405036678395462,0.2284941409391691,-6.304335253055984,2.894333988783445e-10,-1.4405036678395462,0.2284941409391691,-6.304335253055984,2.894333988783445e-10,2.894333988783445e-10,-1.8883439547587366,-0.9926633809203558,-1.8883439547587366,-0.9926633809203558
5|10,threshold,-0.7827873489266053,0.21313940804240322,-3.6726542318765985,2.4004418377885687e-4,-0.7827873489266053,0.21313940804240322,-3.6726542318765985,2.4004418377885687e-4,2.4004418377885687e-4,-1.2005329123759023,-0.3650417854773083,-1.2005329123759023,-0.3650417854773083
10|15,threshold,-0.37553134353944073,0.20910718652740465,-1.7958796623674398,0.07251365759916556,-0.37553134353944073,0.20910718652740465,-1.7958796623674398,0.07251365759916556,0.07251365759916556,-0.7853738980416529,0.03431121096277151,-0.7853738980416529,0.03431121096277151
15|20,threshold,-0.035800764007231534,0.2078014005722155,-0.1722835549166089,0.8632146123199589,-0.035800764007231534,0.2078014005722155,-0.1722835549166089,0.8632146123199589,0.8632146123199589,-0.4430840250657548,0.3714824970512917,-0.4430840250657548,0.3714824970512917
20|25,threshold,0.26506225239249553,0.20817054946100946,1.2732937155557729,0.20291383593242662,0.26506225239249553,0.20817054946100946,1.2732937155557729,0.20291383593242662,0.20291383593242662,-0.14294452719299688,0.673069031977988,-0.14294452719299688,0.673069031977988
25|30,threshold,0.46886717670094286,0.20923771123333965,2.2408349524434783,0.025036767980514154,0.46886717670094286,0.20923771123333965,2.2408349524434783,0.025036767980514154,0.025036767980514154,0.05876879847600536,0.8789655549258804,0.05876879847600536,0.8789655549258804
30|35,threshold,0.6574682167440139,0.21064177211274526,3.1212622745696725,0.0018007757478472426,0.6574682167440139,0.21064177211274526,3.1212622745696725,0.0018007757478472426,0.0018007757478472426,0.24461792976333974,1.070318503724688,0.24461792976333974,1.070318503724688
35|40,threshold,0.8210948436793102,0.21211482439895166,3.8709922609415144,1.0839323365114845e-4,0.8210948436793102,0.21211482439895166,3.8709922609415144,1.0839323365114845e-4,1.0839323365114845e-4,0.4053574272703271,1.2368322600882933,0.4053574272703271,1.2368322600882933
40|45,threshold,1.0930292409258688,0.21461456608525803,5.092987213606232,3.52465477801712e-7,1.0930292409258688,0.21461456608525803,5.092987213606232,3.52465477801712e-7,3.52465477801712e-7,0.6723924208410719,1.5136660610106658,0.6723924208410719,1.5136660610106658
45|50,threshold,1.2272221755514425,0.21583458453257975,5.685938507997527,1.3009620398592268e-8,1.2272221755514425,0.21583458453257975,5.685938507997527,1.3009620398592268e-8,1.3009620398592268e-8,0.8041941632494205,1.6502501878534646,0.8041941632494205,1.6502501878534646
