no.par,AIC,logLik,LR.stat,df,Pr(>Chisq)
22,2191.5213291244777,-1073.7606645622388,NA,NA,NA
24,2068.1462815480572,-1010.0731407740286,127.37504757642046,2,2.1920974289748957e-28
