interface_cond,emmean,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL,p.value.raw,p.value
chatbot,-1.5447130024125841,0.16885470388963522,Inf,-1.8756621406564444,-1.2137638641687238,-1.8756621406564444,-1.2137638641687238,NA,NA
dashboard,-0.4391122824815803,0.14964240748489138,Inf,-0.7324060117118343,-0.14581855325132626,-0.7324060117118343,-0.14581855325132626,NA,NA
