contrast,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value,lower.CL,upper.CL,p.value.raw,supports_h4_higher_mwl,ci_excludes_zero
mid_minus_easy,0.4153134079460357,0.12722299629331826,Inf,0.11074412474744671,0.7198826911446248,3.2644523399567813,0.0010967591313819974,0.11074412474744671,0.7198826911446248,0.0010967591313819974,TRUE,TRUE
hard_minus_easy,1.5363844339988189,0.14226034173172977,Inf,1.1958160495777796,1.876952818419858,10.799808402654381,1.0347676832333727e-26,1.1958160495777796,1.876952818419858,1.0347676832333727e-26,TRUE,TRUE
hard_minus_mid,1.1210710260527832,0.13394420922062847,Inf,0.8004112948759345,1.4417307572296318,8.36968639835853,1.1554355073957921e-16,0.8004112948759345,1.4417307572296318,1.1554355073957921e-16,TRUE,TRUE
