model,nobs,logLik,AIC,BIC
null_interface_role,402,-1073.7606645622388,2191.5213291244777,2279.443275074096
additive_complexity_adjusted_for_industry_role,402,-1010.0731407740286,2068.1462815480572,2164.0611316749137
