industry_role,n,mean,std,median,iqr
Junior Management,20,0.7409572649605477,0.11920076939772377,0.7518782797158348,0.1329048975992998
Middle Management,83,0.7456118524643806,0.11856679738598581,0.7578540227220331,0.13797177988188314
Upper Management,28,0.7388106557990499,0.12204286562709163,0.7545286852229284,0.11337913955433243
