IFDIFF__low,IFH__low,CELL__chatbot__low,CELL__dashboard__low,IFDIFF__medium,IFH__medium,CELL__chatbot__medium,CELL__dashboard__medium,IFDIFF__high,IFH__high,CELL__chatbot__high,CELL__dashboard__high,DLGRAD__chatbot,DLH__chatbot,DLGRAD__dashboard,DLH__dashboard,DID__HIGH_LOW
-0.03407617460758816,-0.07699796736739817,0.7493402947624023,0.7152641201548141,-0.006828237110652724,-0.015148935746672088,0.7198085140954732,0.7129802769848205,-0.08336724480458468,-0.190771028575063,0.7823476752155417,0.698980430410957,0.033007380453139445,0.07798814823176592,-0.016283689743857077,-0.03578491297589892,-0.04929107019699652
-0.05514436620037699,-0.12773110322572467,0.7787775682655566,0.7236332020651796,0.04302535930552709,0.09548880540446425,0.69462743289017,0.7376527921956971,-0.010794559617578803,-0.0254234371734392,0.7694079010000718,0.758613341382493,-0.009369667265484716,-0.022406982226313765,0.034980139317313474,0.07990068382597171,0.04434980658279819
-0.08706777789148545,-0.21170435724716263,0.8251858333101361,0.7381180554186506,0.007391041259387721,0.016524951078207284,0.719789533759246,0.7271805750186338,-0.011535925312793571,-0.02758877489193745,0.7798754524913295,0.7683395271785359,-0.04531038081880656,-0.11398844642815709,0.03022147175988532,0.0701271359270681,0.07553185257869188
-0.09556834183272578,-0.2187211520970178,0.7878352322536877,0.6922668904209619,-0.002594310513481579,-0.005832139994568664,0.7296068480875372,0.7270125375740556,-0.059935395435476435,-0.14089348502553367,0.7914993434254739,0.7315639479899975,0.003664111171786222,0.0089907689457851,0.039297057569035565,0.08681843601726924,0.03563294639724934
-0.11749787939232459,-0.27812595232618076,0.8214619041698227,0.7039640247774981,0.0432090778229397,0.09434526826292067,0.6783990683847642,0.7216081462077039,-0.049821919013932736,-0.11664369277509135,0.7839956439709246,0.7341737249569918,-0.037466260198898094,-0.09424633173354025,0.03020970017949376,0.06723592781754917,0.06767596037839185
-0.06831035869653068,-0.15779231759781398,0.7827724969379314,0.7144621382414007,-0.024391089627390006,-0.054914852578950235,0.7416096953429272,0.7172186057155372,-0.023559459778526914,-0.05404777612357581,0.7565257451119567,0.7329662853334298,-0.02624675182597469,-0.06235786745376659,0.018504147092029077,0.04138667402047158,0.04475089891800377
-0.07441873676600519,-0.18452263601316954,0.830715807011933,0.7562970702459278,-0.0018930617208762213,-0.004484093890885443,0.7688450363121866,0.7669519745913104,-0.0318346387639965,-0.07773945965889917,0.8024441611802734,0.7706095224162769,-0.028271645831659642,-0.07310034677000443,0.014312452170349044,0.03368282958426594,0.042584098002008686
-0.10547286806336997,-0.24941809521505043,0.8157180140366156,0.7102451459732456,-0.022703072779760025,-0.051718228028107216,0.7505557006164157,0.7278526278366557,-0.07485891870064831,-0.1829070234209076,0.8226375171952137,0.7477785984945654,0.006919503158598128,0.01797950944437332,0.03753345252131979,0.08449058123851616,0.03061394936272166
-0.15726687844301313,-0.37447633352280696,0.8414538953831996,0.6841870169401865,-0.024667594541810445,-0.05509822035186662,0.7347623383272095,0.710094743785399,-0.03171671430413914,-0.07403312405360918,0.773322882848695,0.7416061685445559,-0.0681310125345046,-0.17338252068758697,0.05741915160436939,0.1270606887816108,0.125550164138874
-0.2623983295244794,-0.5993597053281707,0.8500968304761306,0.5876985009516512,-0.010458644749809398,-0.023469935346805748,0.7319619342085415,0.7215032894587321,-0.037708584408455925,-0.08744898132652557,0.7714806863498189,0.733772101941363,-0.07861614412631168,-0.2017091457464235,0.14607360098971178,0.31020157825522165,0.22468974511602346
-0.2196618913047107,-0.4706665717346836,0.7729038466259488,0.5532419553212381,0.023516147661536424,0.05356952594595388,0.727420054059646,0.7509362017211825,-0.008325049958008979,-0.019574551605962665,0.7670461708498676,0.7587211208918586,-0.005857675776081206,-0.01391897765765382,0.20547916557062051,0.43717304247106714,0.21133684134670172
-0.14251764330971106,-0.35237647825935525,0.85781875550273,0.715301112193019,-0.031900252378102234,-0.06959803230482464,0.7154051739247888,0.6835049215466865,0.0017422088806118285,0.004070893420915045,0.7576700746209235,0.7594122835015353,-0.1001486808818065,-0.2561318873451177,0.044111171308516384,0.10031548433515258,0.1442598521903229
-0.21415383128938126,-0.5044415598427738,0.8556606771647495,0.6415068458753682,0.003962310789657919,0.008871343480544525,0.7227609298358638,0.7267232406255217,-0.07108386103876085,-0.16224010219769913,0.7747772154261429,0.703693354387382,-0.08088346173860661,-0.20954555396720176,0.062186508512013794,0.13265590367787294,0.1430699702506204
-0.14253708742939575,-0.3281704064469888,0.8122169441783894,0.6696798567489937,0.023666699846198402,0.05347821060149327,0.7206865459497246,0.744353245795923,-0.10166843507967849,-0.22999562740994972,0.7811058723180798,0.6794374372384013,-0.03111107186030959,-0.07734872293092598,0.009757580489407669,0.0208260561061131,0.04086865234971726
-0.13437667349595095,-0.3160261173840673,0.824113041857494,0.6897363683615431,0.020531920826491246,0.04649246927972328,0.7240597631179853,0.7445916839444765,-0.09092457703050638,-0.21686385665583918,0.8150189477068231,0.7240943706763168,-0.009094094150670862,-0.02365044847182185,0.034358002314773706,0.07551181225640624,0.04345209646544457
-0.17115474995175772,-0.40242580175878495,0.838539988420724,0.6673852384689662,0.008959111557876098,0.020193892277705405,0.7260818446235076,0.7350409561813837,0.03250088982749966,0.07595248448515912,0.7420284384608548,0.7745293282883544,-0.09651154995986921,-0.2385024077317044,0.10714408981938817,0.23987587851223968,0.20365563977925738
-0.0931716414642555,-0.2136424656524465,0.7882700663916714,0.6950984249274159,0.0010197720141039701,0.002314123813857538,0.7357253694596821,0.7367451414737861,-0.023455577950649675,-0.05365767368496632,0.7542683089572028,0.7308127310065531,-0.03400175743446865,-0.08100346138638193,0.03571430607913717,0.07898133058109824,0.06971606351360582
-0.24741086176642035,-0.5755563173210025,0.858640895289303,0.6112300335228826,0.014102024482502862,0.0324183212851783,0.7394058735961557,0.7535078980786586,-0.0808515175141562,-0.18639981452862076,0.7869646525496866,0.7061131350355304,-0.07167624273961637,-0.18859728440635015,0.09488310151264778,0.20055921838603163,0.16655934425226415
-0.20096127724883428,-0.4756655871269313,0.8541003514911224,0.6531390742422881,-0.03877610012941746,-0.0861620542112771,0.7367671454515278,0.6979910453221103,-0.047472477312171746,-0.10761442870658655,0.7583687501511277,0.710896272838956,-0.0957316013399947,-0.2439105434181461,0.057757198596667836,0.12414061500219864,0.15348879993666253
-0.0394730429933946,-0.0988114284598316,0.819847838129076,0.7803747951356814,0.06420526353372746,0.1413013036881372,0.6752008245736741,0.7394060881074016,-0.05811548694958768,-0.1381898266539383,0.7983349067101478,0.7402194197605602,-0.021512931418928183,-0.054757427841034545,-0.04015537537512126,-0.09413582603514126,-0.018642443956193078
-0.1500923041555675,-0.3629190910519686,0.8481037235989705,0.698011419443403,-0.0007502209763690093,-0.0017341787272973086,0.7510732016678054,0.7503229806914364,-0.053811718885997895,-0.12540077112340198,0.7825593062071688,0.728747587321171,-0.06554441739180161,-0.16952356901844512,0.030736167877768006,0.06799475091012153,0.09628058526956962
-0.16319326206681206,-0.3635790587515424,0.793219830735548,0.630026568668736,0.038661849012485705,0.09002624325745456,0.7362367076699577,0.7748985566824435,-0.007651952914436988,-0.017924627141022942,0.7641131684805452,0.7564612155661082,-0.029106662255002802,-0.07014595239859878,0.12643464689737227,0.2755084792119207,0.15554130915237507
-0.06112448634301504,-0.14543069172625955,0.8001005924571776,0.7389761061141625,-0.03249193624140212,-0.07376168365368896,0.7524594425659209,0.7199675063245188,-0.08226509860120901,-0.19210117496976498,0.7969438385235569,0.7146787399223479,-0.003156753933620693,-0.007870215584273588,-0.024297366191814662,-0.05454069882777901,-0.02114061225819397
-0.13844592991696758,-0.3213770148919939,0.8166226577872848,0.6781767278703172,-0.003263014158590649,-0.007579379312742329,0.7559100063369072,0.7526469921783165,0.00840992684002917,0.02005048712970714,0.7679325363557192,0.7763424631957484,-0.04869012143156559,-0.12020722066604383,0.09816573532543116,0.2212202813556572,0.14685585675699675
-0.07351963418154062,-0.17182753359698388,0.7936406342412561,0.7201210000597155,-0.018890793714587573,-0.04393082604817744,0.7644519290829026,0.745561135368315,-0.07246802974956357,-0.16756073876558553,0.7853885655251864,0.7129205357756229,-0.00825206871606965,-0.020243723751154796,-0.0072004642840926,-0.01597692891975644,0.001051604431977049
-0.1455473581551916,-0.35130436065336346,0.8452368694047366,0.699689511249545,0.018602917203032532,0.04213508248850584,0.725259087389049,0.7438620045920815,0.02502303449532417,0.06156077459189824,0.778425027664037,0.8034480621593612,-0.06681184174069965,-0.1715551201060994,0.10375855090981612,0.24131001513916228,0.17057039265051577
