interface_cond,dl_ord,n_rows,mean,std,median,iqr
chatbot,low,30,0.8155865796764153,0.22861330584824563,0.9148685312293006,0.3379349816849819
chatbot,medium,108,0.7330017775166877,0.2831556566030622,0.859314763291036,0.48017399267399274
chatbot,high,48,0.7829358720959378,0.24714740154102105,0.898097341446247,0.45934626827427727
dashboard,low,24,0.6889786359813092,0.2548415934149956,0.66839408248485,0.480939490263388
dashboard,medium,129,0.7307794552864084,0.26297057734231577,0.83284312177745,0.351420641562597
dashboard,high,54,0.74363211167011,0.2746829302139154,0.886168646468886,0.4538767437026915
