interface,dl_ord,expected_class,CI_low_boot,CI_high_boot
chatbot,low,5.717791886678079,3.6539131171131145,7.578219230406985
chatbot,medium,6.51398967932744,5.3495342291636945,7.501410618020478
chatbot,high,5.153716696220276,4.1180445591803485,6.575055347672593
dashboard,low,10.460278138135047,7.975896450285977,13.49494161492887
dashboard,medium,8.593057785085358,7.922945906265316,9.302824149969108
dashboard,high,8.58748244992478,7.41085273521782,9.582635437025987
