dl_ord,pred_dashboard,pred_chatbot,diff_expected_class,estimate_logit,SE,z,p,CI_low_logit,CI_high_logit,OR,OR_CI_low,OR_CI_high,diff_class_CI_low_boot,diff_class_CI_high_boot,OR_CI_low_boot,OR_CI_high_boot
low,10.460278138135047,5.717791886678079,4.742486251456969,2.2320331495769232,0.5200427030093685,4.292018975866129,1.7705581331121832e-05,1.2127681812557014,3.251298117898145,9.318793332717021,3.3627805663565895,25.823840558225314,2.1063659499504532,8.649285178476294,2.77236561578762,80.44576087168019
medium,8.593057785085358,6.51398967932744,2.0790681057579183,0.9746550089420685,0.22682324632919015,4.296980246581715,1.7314061746194902e-05,0.5300896152803988,1.419220402603738,2.6502527397530047,1.6990845657359464,4.133896408814697,0.9886012665189484,3.44296488035211,1.588342349905802,5.35763898683036
high,8.58748244992478,5.153716696220276,3.4337657537045034,1.6792667304595164,0.3508467841589796,4.786324989367976,1.6986292395944863e-06,0.9916196694162185,2.3669137915028142,5.361623014495464,2.695596914419323,10.66442879341254,1.4834914071390808,4.8816490544530335,2.0080612806768867,12.2265910538527
