interface,dl_ord,pred_accuracy,CI_low_boot,CI_high_boot
chatbot,low,0.8137752171626121,0.7689630619585106,0.8628627780383955
dashboard,low,0.6892886902037402,0.6091793931108259,0.7555231865478332
chatbot,medium,0.7325043905374855,0.6948752273254031,0.7622019842373929
dashboard,medium,0.7317884756032602,0.6873757353162873,0.7693529646267953
chatbot,high,0.7815885321158748,0.7481488539487319,0.8196485234229127
dashboard,high,0.7436098463309199,0.6866019490398975,0.7927151948860844
