family,label,prob_diff,prob_diff_CI_low_boot,prob_diff_CI_high_boot,cohens_h,cohens_h_CI_low_boot,cohens_h_CI_high_boot,avg_logit_contrast,OR_or_ratioOR,p_value,p_value_holm,reject_holm
simple_interface_by_dl,dashboard-chatbot @ DL=low,-0.12448652695887197,-0.21611689217195937,-0.03465564475520567,-0.2901442020579452,-0.4904819475490936,-0.08429215396851758,-0.8164498295650675,0.4419980407683445,0.0031316475575345155,0.009394942672603546,True
simple_interface_by_dl,dashboard-chatbot @ DL=medium,-0.0007159149342252924,-0.05331012377589962,0.054760183219346864,-0.0016166418449059528,-0.11803619015140746,0.12569054141796748,-0.004450201197539028,0.9955596862752915,0.9792403027704392,0.9792403027704392,False
simple_interface_by_dl,dashboard-chatbot @ DL=high,-0.03797868578495489,-0.103550512592389,0.020314777838664123,-0.0893223845288742,-0.24234938870850964,0.0481830885635242,-0.252563365043334,0.7768069888712784,0.22871690214974139,0.45743380429948277,False
low_high_dl_within_interface,high-low DL @ chatbot,-0.032186685046737384,-0.09614997397739165,0.023205285316885364,-0.08017744899787616,-0.24564218423238435,0.05844990939842454,-0.23545776115203704,0.7902090398233972,0.2677201924140066,0.4705590378136184,False
low_high_dl_within_interface,high-low DL @ dashboard,0.05432115612717969,-0.035176305175604515,0.1467946194502218,0.12064436853119487,-0.07823835184355607,0.32622591911891086,0.3284287033696965,1.3887842211630907,0.2352795189068092,0.4705590378136184,False
did_high_low,[high-low DL] dashboard - chatbot,0.08650784117391708,-0.013675827840272423,0.1984668876376305,,,,0.5638864645217335,1.7574896656123655,0.1057730575732747,0.1057730575732747,False
