term,Estimate_logit,SE_robust,z,p,CI_low_logit,CI_high_logit,OR,OR_CI_low,OR_CI_high
"iface_dash:C(dl_ord, Treatment(reference='low'))[T.medium]",0.8119996283675285,0.3259099804810203,2.4914843883242663,0.012721055746597184,0.17322780442257668,1.4507714523124804,2.2524074643965992,1.1891369648909815,4.266404573618343
"iface_dash:C(dl_ord, Treatment(reference='low'))[T.high]",0.5638864645217335,0.3486187122229862,1.6174876584394475,0.1057730575732747,-0.11939365577205296,1.24716658481552,1.7574896656123655,0.8874583788771897,3.480467364162102
