industry_role,n,mean,sd,median,iqr
Junior Management,21,4.148148148148148,0.5227341856111808,4.222222222222222,0.7777777777777777
Middle Management,85,4.06797385620915,0.5914574406246573,4.111111111111111,1
Upper Management,28,4.146825396825397,0.6479213510986381,4.333333333333333,0.9444444444444442
