term,Estimate_log,SE,z,p,CI_low_log,CI_high_log,TR,TR_CI_low,TR_CI_high,% change
Intercept,4.207377705542284,0.1358776276962606,30.964462486402923,1.622923573301042e-210,3.9410624489528714,4.473692962131698,67.18014251299084,51.473259970518576,87.67992450158958,6618.014251299084
"C(dl_ord, Treatment(reference='low'))[T.medium]",0.25122310528676434,0.15250248582442832,1.6473377724215603,0.09948863809685915,-0.047676274481945335,0.550122485055474,1.2855968757972978,0.9534423907552494,1.7334653284616113,28.559687579729776
"C(dl_ord, Treatment(reference='low'))[T.high]",0.2976151060032566,0.1586300366136529,1.876158591125494,0.06063350622983653,-0.013294052625773212,0.6085242646322864,1.3466433731685121,0.9867939230094188,1.8377174121301914,34.66433731685121
"C(task_code, Treatment(reference='T1'))[T.T2]",0.6913296376870194,0.05141459939471268,13.446173768264616,3.2421991670416003e-41,0.5905588745938277,0.792100400780211,1.9963682157157574,1.8049969004728763,2.2080293055771962,99.63682157157574
"C(task_code, Treatment(reference='T1'))[T.T3]",1.2780859589863853,0.05969526656834375,21.410172572445653,1.0741421414445086e-101,1.1610853864649135,1.395086531507857,3.589762193662101,3.1933974661704707,4.035323740172917,258.9762193662101
iface_dash,0.009189216647709062,0.17808777862415298,0.05159936700149722,0.9588479237294008,-0.3398564155423729,0.358234848837791,1.0092315671221719,0.711872529255815,1.4308016031193895,0.923156712217188
"iface_dash:C(dl_ord, Treatment(reference='low'))[T.medium]",0.04412264661882957,0.20358408176946857,0.21672935445312713,0.8284192701291229,-0.3548948214749862,0.44314011471264536,1.0451105263007419,0.7012471954756173,1.5575905604068716,4.511052630074186
"iface_dash:C(dl_ord, Treatment(reference='low'))[T.high]",0.08882537138494337,0.207927199921554,0.42719457299696756,0.6692376138273917,-0.318704451867562,0.4963551946374488,1.0928897898310317,0.7270904077663949,1.6427229405846666,9.288978983103169
