dl_ord,pred_dashboard_geom_time,pred_chatbot_geom_time,diff_time_s,estimate_log,SE,z,p,CI_low_log,CI_high_log,TR,TR_CI_low,TR_CI_high,pct_change
low,148.84725088749704,147.48572650371577,1.3615243837812727,0.009189216647709062,0.17808777862415298,0.05159936700149722,0.9588479237294008,-0.3398564155423729,0.358234848837791,1.0092315671221719,0.711872529255815,1.4308016031193895,0.923156712217188
medium,199.98980098732645,189.6071892178717,10.38261176945474,0.05331186326653863,0.098646953600365,0.5404309136855228,0.5888998934214053,-0.14003261297477057,0.24665633950784785,1.0547585342743755,0.8693298835029305,1.2797392413818691,5.475853427437549
high,219.06338029085904,198.6106762331723,20.45270405768673,0.09801458803265244,0.10732410526965823,0.9132579096409416,0.3611069135602635,-0.1123367929688631,0.30836596903416796,1.102978875282993,0.893743200380385,1.3611990544965897,10.297887528299299
