interface,dl_ord,pred_geom_time_s
chatbot,low,147.48572650371577
chatbot,medium,189.6071892178717
chatbot,high,198.6106762331723
dashboard,low,148.84725088749704
dashboard,medium,199.98980098732645
dashboard,high,219.06338029085904
