interface,dl_ord,pred_geom_time_s,CI_low_boot,CI_high_boot
chatbot,low,147.48572650371577,113.84322258804794,191.01458028850774
chatbot,medium,189.6071892178717,160.85392060750226,222.69550098578185
chatbot,high,198.6106762331723,163.81304620898143,237.7944988561215
dashboard,low,148.84725088749704,115.41812370098212,196.42564188156223
dashboard,medium,199.98980098732645,177.5294638625416,223.57795549315333
dashboard,high,219.06338029085904,196.72647395792958,247.52433595742218
