industry_role,n,mean,std,median,iqr
Junior Management,21,0.7519175595231571,0.12657437121566653,0.7628918243264214,0.141873311843967
Middle Management,85,0.7422029561521283,0.1192268899956378,0.7575702075702077,0.13439775762911899
Upper Management,28,0.7388106557990499,0.12204286562709163,0.7545286852229284,0.11337913955433243
