interface,task,task_label,predicted_accuracy,CI_low_boot,CI_high_boot
dashboard,T1,easy,0.8569052159352437,0.8068380745972602,0.8998660271836966
dashboard,T2,mid,0.8271082191785044,0.7706022869196691,0.8771011539694746
dashboard,T3,hard,0.5022663584181586,0.4562677105002595,0.5459057929181907
chatbot,T1,easy,0.9334571772354877,0.8895388697197865,0.9659562387795657
chatbot,T2,mid,0.8655964326950442,0.8142313727241784,0.9107014865010775
chatbot,T3,hard,0.47027130102175274,0.4264981878010379,0.5162313713579907
