family,label,prob_diff,prob_diff_CI_low_boot,prob_diff_CI_high_boot,cohens_h,cohens_h_CI_low_boot,cohens_h_CI_high_boot,logit_effect,OR_or_ratioOR,p_value,p_value_holm,reject_holm
simple_interface,chatbot-dashboard@T1,0.076551961300244,0.018283203169060992,0.13539780019512998,0.2540541271169223,0.05807060210956645,0.4581362298956322,0.8512293323645709,2.3425248241524845,0.023422376602591447,0.07026712980777435,False
simple_interface,chatbot-dashboard@T2,0.03848821351653975,-0.03500599650896681,0.11119819685688313,0.10692282776107831,-0.09637515809804911,0.30961476629437434,0.29730213305412945,1.34622197616696,0.2956307797792602,0.5912615595585204,False
simple_interface,chatbot-dashboard@T3,-0.031995057396405846,-0.09212029149465509,0.031299939576731925,-0.0640252182841079,-0.18453921490623829,0.06270056333675986,-0.12812072309981404,0.8797471669285946,0.32097094646689317,0.5912615595585204,False
did,DID = [chatbot-dashboard]@T3 - [chatbot-dashboard]@T1,-0.10854701869664984,-0.18557369725001555,-0.029512137581162428,,,,-0.9793500554643849,0.3755551095373699,0.0097010350693575,0.0291031052080725,True
did,DID = [chatbot-dashboard]@T2 - [chatbot-dashboard]@T1,-0.03806374778370425,-0.12855960258770352,0.04643738416393489,,,,-0.5539271993104414,0.5746884567825304,0.22027707241146932,0.3490669283814434,False
did,DID = [chatbot-dashboard]@T3 - [chatbot-dashboard]@T2,-0.0704832709129456,-0.16310496988849618,0.03293752162402579,,,,-0.4254228561539435,0.653493392994119,0.1745334641907217,0.3490669283814434,False
