analysis_role,contrast_code,label,from_dl,to_dl,diff_of_diffs_time_s,diff_of_diffs_time_CI_low_boot,diff_of_diffs_time_CI_high_boot,ratio_of_TR,ratio_of_TR_CI_low_boot,ratio_of_TR_CI_high_boot,log_effect,SE_robust,z,p_value,ratioTR_model,ratioTR_CI_low,ratioTR_CI_high,p_value_holm,holm_reject,holm_alpha,holm_family,holm_n_tests,holm_significant
PRIMARY moderation contrast,high_vs_low,[dashboard/chatbot]@high / [dashboard/chatbot]@low,low,high,8.546759620565581,-69.37117039080923,85.98087028214806,1.0284543693736357,0.6722735057904179,1.557116805696491,0.028057062936715487,0.20236149008124216,0.13864823255378977,0.8897281272964648,1.0284543693736357,0.6917268204232861,1.5290984224617405,1.0,False,0.05,internal_did_contrasts,3,No
EXPLORATORY follow-up contrast,medium_vs_low,[dashboard/chatbot]@medium / [dashboard/chatbot]@low,low,medium,-4.167473090884073,-80.82341762717618,68.78885292597086,0.9736663287825983,0.640054253560156,1.4603864758422413,-0.026686612284888927,0.19849297998532245,-0.1344461264416619,0.8930498090737471,0.9736663287825983,0.6598612428042745,1.436705262118543,1.0,False,0.05,internal_did_contrasts,3,No
EXPLORATORY follow-up contrast,high_vs_medium,[dashboard/chatbot]@high / [dashboard/chatbot]@medium,medium,high,12.714232711449654,-40.95163871852716,68.15770882216377,1.056269831842229,0.8288929544283049,1.3577827753011023,0.054743675221604414,0.11891648550517563,0.46035396176606475,0.6452621743062934,1.056269831842229,0.8366676555970421,1.3335115206095167,1.0,False,0.05,internal_did_contrasts,3,No
