analysis_role,interface,from_dl,to_dl,pred_time_from_s,pred_time_to_s,diff_time_s,diff_time_CI_low_boot,diff_time_CI_high_boot,ratio_time_to_from,ratio_time_CI_low_boot,ratio_time_CI_high_boot,log_effect,SE_robust,z,p_value,TR,TR_CI_low,TR_CI_high,p_value_holm,holm_reject,holm_alpha,holm_family,holm_n_tests,holm_significant
PRIMARY low-vs-high contrast,chatbot,low,high,168.0852232421166,223.78003131180694,55.69480806969034,-5.106063498241757,111.2081212212235,1.3313486277700053,0.9738808143127256,1.8585109984170531,0.2861924343191199,0.15181207968917415,1.8851756388890872,0.059406128674249,1.3313486277700053,0.988710436563928,1.7927282884006155,0.178218386022747,False,0.05,dl_effects_within_interface | interface=chatbot,3.0,No
EXPLORATORY follow-up contrast,chatbot,low,medium,168.0852232421166,220.81996943076987,52.734746188653276,-0.989054266311654,106.40710233132376,1.3137381452781964,0.9952409602409477,1.8225993136633691,0.27287661959319887,0.14682526890842132,1.858512649913136,0.06309624868935149,1.3137381452781962,0.9852147714587035,1.7518088079451197,0.178218386022747,False,0.05,dl_effects_within_interface | interface=chatbot,3.0,No
EXPLORATORY follow-up contrast,chatbot,medium,high,220.81996943076987,223.78003131180694,2.9600618810370634,-41.09910897634921,44.764310811165565,1.013404865006854,0.827699491595358,1.222260231440163,0.013315814725921027,0.09742927031424249,0.13667160477516666,0.8912903749871756,1.0134048650068541,0.8372420638937351,1.226633807244912,0.8912903749871756,False,0.05,dl_effects_within_interface | interface=chatbot,3.0,No
PRIMARY low-vs-high contrast,dashboard,low,high,173.9873227449174,238.22889043517333,64.24156769025592,10.001755261489905,109.8845222886596,1.3692313133896565,1.0461320100750429,1.7972630410818722,0.3142494972558354,0.1338030834037412,2.3485968279789944,0.018844298858031763,1.3692313133896559,1.0533760298364836,1.7797959479463266,0.056532896574095284,False,0.05,dl_effects_within_interface | interface=dashboard,3.0,No
EXPLORATORY follow-up contrast,dashboard,low,medium,173.9873227449174,222.5545958426866,48.5672730977692,-2.4191872458231582,94.40061788751349,1.2791425968946808,0.9894439954333575,1.6878609093184311,0.24619000730830995,0.13357321405664896,1.843109107218905,0.06531308190897966,1.279142596894681,0.9845125026002678,1.6619451544484871,0.13062616381795933,False,0.05,dl_effects_within_interface | interface=dashboard,3.0,No
EXPLORATORY follow-up contrast,dashboard,medium,high,222.5545958426866,238.22889043517333,15.674294592486717,-17.949471004831842,49.76586389460047,1.0704289863488874,0.9241757437921891,1.2430023742374439,0.06805948994752545,0.06818113970107066,0.9982157858598644,0.3181747333333447,1.0704289863488867,0.936530594837058,1.2234712043926976,0.3181747333333447,False,0.05,dl_effects_within_interface | interface=dashboard,3.0,No
