family,label,diff_time_s,diff_time_CI_low_boot,diff_time_CI_high_boot,ratio_time,ratio_time_CI_low_boot,ratio_time_CI_high_boot,log_effect,TR_or_ratioTR,p_value,p_value_holm,holm_reject
simple_interface,dashboard/chatbot@low,5.902099502800809,-56.145206426230565,73.33280104019124,1.0351137321232526,0.7195178971372653,1.5265185972954654,0.03451130678971922,1.0351137321232529,0.8495605888784639,1.0,False
simple_interface,dashboard/chatbot@medium,1.7346264119167358,-34.160240508606705,36.85718355723625,1.007855387428901,0.8602313502104765,1.1817495651144998,0.007824694504830292,1.0078553874289016,0.9214404829015731,1.0,False
simple_interface,dashboard/chatbot@high,14.44885912336639,-27.334655755741814,55.03261890482163,1.0645672406008106,0.8927389269478047,1.280346421785382,0.0625683697264347,1.0645672406008104,0.47995741087147736,1.0,False
dl_within_interface,chatbot::high_vs_low,55.69480806969034,-5.106063498241757,111.2081212212235,1.3313486277700053,0.9738808143127256,1.8585109984170531,0.2861924343191199,1.3313486277700053,0.059406128674249,0.178218386022747,False
dl_within_interface,chatbot::medium_vs_low,52.734746188653276,-0.989054266311654,106.40710233132376,1.3137381452781964,0.9952409602409477,1.8225993136633691,0.27287661959319887,1.3137381452781962,0.06309624868935149,0.178218386022747,False
dl_within_interface,chatbot::high_vs_medium,2.9600618810370634,-41.09910897634921,44.764310811165565,1.013404865006854,0.827699491595358,1.222260231440163,0.013315814725921027,1.0134048650068541,0.8912903749871756,0.8912903749871756,False
dl_within_interface,dashboard::high_vs_low,64.24156769025592,10.001755261489905,109.8845222886596,1.3692313133896565,1.0461320100750429,1.7972630410818722,0.3142494972558354,1.3692313133896559,0.018844298858031763,0.056532896574095284,False
dl_within_interface,dashboard::medium_vs_low,48.5672730977692,-2.4191872458231582,94.40061788751349,1.2791425968946808,0.9894439954333575,1.6878609093184311,0.24619000730830995,1.279142596894681,0.06531308190897966,0.13062616381795933,False
dl_within_interface,dashboard::high_vs_medium,15.674294592486717,-17.949471004831842,49.76586389460047,1.0704289863488874,0.9241757437921891,1.2430023742374439,0.06805948994752545,1.0704289863488867,0.3181747333333447,0.3181747333333447,False
did,[dashboard/chatbot]@high / [dashboard/chatbot]@low,8.546759620565581,-69.37117039080923,85.98087028214806,1.0284543693736357,0.6722735057904179,1.557116805696491,0.028057062936715487,1.0284543693736357,0.8897281272964648,1.0,False
did,[dashboard/chatbot]@medium / [dashboard/chatbot]@low,-4.167473090884073,-80.82341762717618,68.78885292597086,0.9736663287825983,0.640054253560156,1.4603864758422413,-0.026686612284888927,0.9736663287825983,0.8930498090737471,1.0,False
did,[dashboard/chatbot]@high / [dashboard/chatbot]@medium,12.714232711449654,-40.95163871852716,68.15770882216377,1.056269831842229,0.8288929544283049,1.3577827753011023,0.054743675221604414,1.056269831842229,0.6452621743062934,1.0,False
