interface,dl_ord,predicted_time_s,CI_low_boot,CI_high_boot
chatbot,low,168.0852232421166,123.02593456251067,216.30457253354805
chatbot,medium,220.81996943076987,192.8997453667577,250.26682421056822
chatbot,high,223.78003131180694,189.88940951153322,256.9048047423766
dashboard,low,173.9873227449174,134.93476246538842,224.01703064148523
dashboard,medium,222.5545958426866,199.48812972878432,245.72036354143103
dashboard,high,238.22889043517333,214.36419170808682,263.32628219985247
