model,nobs,n_params,working_corr,dep_param_est,scale,QIC,QICu
additive,402,6,exchangeable,0.2666286288374852,0.22126818431941295,817178.9856782651,460.75325215515767
full_interaction,402,8,exchangeable,0.2664022554024555,0.22214875880129456,1104791.5021267869,462.71973309345884
