analysis_role,dl_ord,pred_dashboard,pred_chatbot,diff_time_s,diff_time_CI_low_boot,diff_time_CI_high_boot,ratio_time_dashboard_chatbot,ratio_time_CI_low_boot,ratio_time_CI_high_boot,% change_boot_center,% change_CI_low_boot,% change_CI_high_boot,log_effect,SE_robust,z,p_value,TR,TR_CI_low,TR_CI_high,p_value_holm,holm_reject,holm_alpha,holm_family,holm_n_tests,holm_significant
PRIMARY simple effect,low,173.9873227449174,168.0852232421166,5.902099502800809,-56.145206426230565,73.33280104019124,1.0351137321232526,0.7195178971372653,1.5265185972954654,3.511373212325264,-28.048210286273466,52.65185972954652,0.03451130678971922,0.18194574087684998,0.18967911325320996,0.8495605888784639,1.0351137321232529,0.7246287730255883,1.4786335822084362,1.0,False,0.05,simple_interface_effects_within_dl,3,No
PRIMARY simple effect,medium,222.5545958426866,220.81996943076987,1.7346264119167358,-34.160240508606705,36.85718355723625,1.007855387428901,0.8602313502104765,1.1817495651144998,0.7855387428900906,-13.976864978952351,18.17495651144998,0.007824694504830292,0.07934236245680973,0.09861937888589706,0.9214404829015731,1.0078553874289016,0.862704136260233,1.1774285520094634,1.0,False,0.05,simple_interface_effects_within_dl,3,No
PRIMARY simple effect,high,238.22889043517333,223.78003131180694,14.44885912336639,-27.334655755741814,55.03261890482163,1.0645672406008106,0.8927389269478047,1.280346421785382,6.456724060081065,-10.72610730521953,28.034642178538203,0.0625683697264347,0.08857719822095798,0.7063710636947036,0.47995741087147736,1.0645672406008104,0.8949031770395425,1.2663977945743143,1.0,False,0.05,simple_interface_effects_within_dl,3,No
