interface_cond,dl_ord,n_rows,mean,std,median,iqr
chatbot,low,30,170.14366666666666,130.20278665308928,136.5845,143.307
chatbot,medium,111,229.32059459459458,172.70909020406532,179.803,236.01449999999994
chatbot,high,51,241.1713333333333,188.4060821976474,148.799,263.81499999999994
dashboard,low,24,156.05833333333334,95.55646394019413,142.756,121.30675
dashboard,medium,129,215.7308062015504,147.4371919608417,168.301,146.207
dashboard,high,57,229.13649122807016,133.26670828309497,189.714,186.277
