task_complexity,n,mean,sd,median,iqr
easy,134,24.185323383084576,21.57936586412225,16.666666666666668,28.958333333333336
mid,134,28.73134328358209,18.66965280500817,25.833333333333332,27.916666666666664
hard,134,45.83955223880597,20.51103994676408,49.166666666666664,29.16666666666667
