y_ord,interface_cond,task_complexity,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL
10,dashboard,easy,0.04452262994420264,0.012636555142505895,Inf,0.019755436976236683,0.06928982291216859,0.019755436976236683,0.06928982291216859
11,dashboard,easy,0.05744958756794316,0.015279731840936981,Inf,0.027501863466276786,0.08739731166960954,0.027501863466276786,0.08739731166960954
12,dashboard,easy,0.04081341155810625,0.012639785624483786,Inf,0.01603988696181092,0.06558693615440159,0.01603988696181092,0.06558693615440159
13,dashboard,easy,0.03505743232587366,0.012360103724751504,Inf,0.010832074180181346,0.059282790471565976,0.010832074180181346,0.059282790471565976
14,dashboard,easy,0.009845214249746381,0.004691311873702519,Inf,6.504119370443276e-4,0.019040016562448435,6.504119370443276e-4,0.019040016562448435
15,dashboard,easy,0.0058806724278474,0.003252483078101654,Inf,-4.940772655578161e-4,0.012255422121252616,-4.940772655578161e-4,0.012255422121252616
16,dashboard,easy,0.0012075103632362971,9.145082267091229e-4,Inf,-5.848928246791742e-4,0.002999913551151768,-5.848928246791742e-4,0.002999913551151768
17,dashboard,easy,2.4480150241290577e-4,2.5029490913570647e-4,Inf,-2.457675050068041e-4,7.353705098326156e-4,-2.457675050068041e-4,7.353705098326156e-4
18,dashboard,easy,1.0264306043406002e-4,1.2603831475988211e-4,Inf,-1.44387497167432e-4,3.4967361803555204e-4,-1.44387497167432e-4,3.4967361803555204e-4
19,dashboard,easy,6.8182568676578015e-6,1.4378215277112866e-5,Inf,-2.1362527237447003e-5,3.4999040972762606e-5,-2.1362527237447003e-5,3.4999040972762606e-5
1,chatbot,mid,0.04086331623651783,0.01795776245223951,Inf,0.005666748587202716,0.07605988388583294,0.005666748587202716,0.07605988388583294
2,chatbot,mid,0.13701330146952728,0.03423521326433004,Inf,0.06991351646839249,0.20411308647066206,0.06991351646839249,0.20411308647066206
3,chatbot,mid,0.16540549788850303,0.03092756583063319,Inf,0.10478858273097039,0.22602241304603568,0.10478858273097039,0.22602241304603568
4,chatbot,mid,0.17149831631436008,0.027471337077796892,Inf,0.11765548503471837,0.22534114759400178,0.11765548503471837,0.22534114759400178
5,chatbot,mid,0.15411253673449254,0.025251675119161085,Inf,0.10462016295163065,0.20360491051735444,0.10462016295163065,0.20360491051735444
6,chatbot,mid,0.09254929893580544,0.019564542750373573,Inf,0.05420349977107903,0.13089509810053185,0.05420349977107903,0.13089509810053185
7,chatbot,mid,0.07031620152787998,0.016593882442763445,Inf,0.0377927895763721,0.10283961347938786,0.0377927895763721,0.10283961347938786
8,chatbot,mid,0.04909671028916707,0.013294074182612381,Inf,0.023040803683443047,0.07515261689489108,0.023040803683443047,0.07515261689489108
9,chatbot,mid,0.05740321312502572,0.015723431132867997,Inf,0.02658585439120863,0.08822057185884281,0.02658585439120863,0.08822057185884281
10,chatbot,mid,0.018569182063395195,0.006848880999279585,Inf,0.005145621970406515,0.031992742156383876,0.005145621970406515,0.031992742156383876
11,chatbot,mid,0.020569088774129107,0.007715512315168784,Inf,0.005446962514123042,0.03569121503413517,0.005446962514123042,0.03569121503413517
12,chatbot,mid,0.011983646309199347,0.005199490257314334,Inf,0.001792832666896357,0.022174459951502336,0.001792832666896357,0.022174459951502336
13,chatbot,mid,0.008020452117755483,0.004026153373853716,Inf,1.2933650876777343e-4,0.015911567726743195,1.2933650876777343e-4,0.015911567726743195
14,chatbot,mid,0.0016836857922948312,0.0010906608510173226,Inf,-4.5397019504692625e-4,0.0038213417796365886,-4.5397019504692625e-4,0.0038213417796365886
15,chatbot,mid,7.773597983795622e-4,5.867932816128705e-4,Inf,-3.7273389995173324e-4,0.0019274534967108575,-3.7273389995173324e-4,0.0019274534967108575
16,chatbot,mid,1.1442557412633114e-4,1.1253973418332403e-4,Inf,-1.0614825170269509e-4,3.3499939995535735e-4,-1.0614825170269509e-4,3.3499939995535735e-4
17,chatbot,mid,1.7758836109993403e-5,2.250157492556971e-5,Inf,-2.6343440339552766e-5,6.186111255953957e-5,-2.6343440339552766e-5,6.186111255953957e-5
18,chatbot,mid,5.764003364938652e-6,8.748159629956441e-6,Inf,-1.1382074440783216e-5,2.291008117066052e-5,-1.1382074440783216e-5,2.291008117066052e-5
19,chatbot,mid,2.44209966249187e-7,6.084589953801237e-7,Inf,-9.483477507652783e-7,1.4367676832636523e-6,-9.483477507652783e-7,1.4367676832636523e-6
1,dashboard,mid,0.0022759540845511284,0.0016359645529676404,Inf,-9.304775192496154e-4,0.005482385688351872,-9.304775192496154e-4,0.005482385688351872
