contrast,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value,lower.CL,upper.CL,supports_h4_higher_mwl,ci_excludes_zero
mid_minus_easy,1.1425015786134676,0.3451715434823085,Inf,0.3161678760446449,1.9688352811822902,3.3099529789947058,9.331164518684125e-4,0.3161678760446449,1.9688352811822902,TRUE,TRUE
hard_minus_easy,4.575333714111453,0.3656785986354031,Inf,3.699906535752358,5.450760892470548,12.511899058859752,1.9280731714179701e-35,3.699906535752358,5.450760892470548,TRUE,TRUE
hard_minus_mid,3.432832135497985,0.3754173678691179,Inf,2.5340905403182825,4.331573730677688,9.144041883258787,1.2032153571987466e-19,2.5340905403182825,4.331573730677688,TRUE,TRUE
