task_complexity,n,mean_class,sd_class,median_class,iqr_class
easy,134,5.82089552238806,4.305706558329999,4,5
mid,134,6.753731343283582,3.7545692807127513,6,5
hard,134,10.14179104477612,4.104193683367769,11,5.75
