no.par,AIC,logLik,LR.stat,df,Pr(>Chisq)
20,2188.524005576221,-1074.2620027881105,NA,NA,NA
22,2065.222024974314,-1010.611012487157,127.30198060190696,2,2.2736632627067466e-28
