interface_cond,dl_ord,mean.class,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL,p.value.raw,p.value
chatbot,low,5.0148325826447095,0.8634156928597251,Inf,3.3225689209529516,6.7070962443364674,3.3225689209529516,6.7070962443364674,NA,NA
dashboard,low,10.727039212721118,1.1687174364616564,Inf,8.436395129152293,13.017683296289944,8.436395129152293,13.017683296289944,NA,NA
chatbot,medium,6.075407903758281,0.5273193795212574,Inf,5.041880911546609,7.108934895969953,5.041880911546609,7.108934895969953,NA,NA
dashboard,medium,8.461474987088836,0.5512557606230619,Inf,7.381033549997402,9.54191642418027,7.381033549997402,9.54191642418027,NA,NA
chatbot,high,4.719938849907566,0.6343451142230386,Inf,3.4766452722614636,5.963232427553668,3.4766452722614636,5.963232427553668,NA,NA
dashboard,high,8.41849074987716,0.7728678428968112,Inf,6.90369761299025,9.93328388676407,6.90369761299025,9.93328388676407,NA,NA
