industry_role,n,mean,sd,median,iqr
Junior Management,21,30.17195767195767,17.102964373424058,28.61111111111111,20.277777777777775
Middle Management,85,33.83986928104575,16.095434381190742,34.166666666666664,25.83333333333333
Upper Management,28,32.182539682539684,17.944134571232016,32.63888888888889,22.77777777777777
