y_ord,interface_cond,dl_ord,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL,p.value.raw,p.value
10,dashboard,low,0.05638785684964935,0.01396607645398712,Inf,0.029014849994501733,0.08376086370479696,0.029014849994501733,0.08376086370479696,NA,NA
11,dashboard,low,0.09387775572954407,0.01792789758149156,Inf,0.05873972215129788,0.12901578930779026,0.05873972215129788,0.12901578930779026,NA,NA
12,dashboard,low,0.09501700647814082,0.020244559306841627,Inf,0.05533839935384608,0.13469561360243557,0.05533839935384608,0.13469561360243557,NA,NA
13,dashboard,low,0.13676387832758952,0.03248540259389178,Inf,0.0730936592202776,0.20043409743490143,0.0730936592202776,0.20043409743490143,NA,NA
14,dashboard,low,0.07223802251968696,0.025953706223771106,Inf,0.021369693055762556,0.12310635198361136,0.021369693055762556,0.12310635198361136,NA,NA
15,dashboard,low,0.08383253930391273,0.03541515902423322,Inf,0.01442010310965694,0.1532449754981685,0.01442010310965694,0.1532449754981685,NA,NA
16,dashboard,low,0.041178183276301863,0.024429758989899963,Inf,-0.0067032644948956666,0.0890596310474994,-0.0067032644948956666,0.0890596310474994,NA,NA
17,dashboard,low,0.017509609061564985,0.014175188982994115,Inf,-0.010273250819152431,0.0452924689422824,-0.010273250819152431,0.0452924689422824,NA,NA
18,dashboard,low,0.016364602592482833,0.015074539674227002,Inf,-0.013180952252522245,0.045910157437487914,-0.013180952252522245,0.045910157437487914,NA,NA
19,dashboard,low,0.004551622439218139,0.006621209709709957,Inf,-0.00842571012590028,0.017528955004336558,-0.00842571012590028,0.017528955004336558,NA,NA
1,chatbot,medium,0.03492986753590944,0.016826761161413465,Inf,0.0019500216830816847,0.06790971338873719,0.0019500216830816847,0.06790971338873719,NA,NA
2,chatbot,medium,0.10591935516178758,0.02916960381341596,Inf,0.048747982244190094,0.16309072807938507,0.048747982244190094,0.16309072807938507,NA,NA
3,chatbot,medium,0.1249055014312065,0.025166446645420306,Inf,0.07558017238733386,0.17423083047507915,0.07558017238733386,0.17423083047507915,NA,NA
4,chatbot,medium,0.13270156773453623,0.022165241641594596,Inf,0.08925849240838338,0.17614464306068908,0.08925849240838338,0.17614464306068908,NA,NA
5,chatbot,medium,0.12930241365208983,0.020505241267643085,Inf,0.08911287927320495,0.16949194803097473,0.08911287927320495,0.16949194803097473,NA,NA
6,chatbot,medium,0.08658462195082076,0.01685691850741912,Inf,0.053545668785952606,0.11962357511568891,0.053545668785952606,0.11962357511568891,NA,NA
7,chatbot,medium,0.07399162069267781,0.01526153091890721,Inf,0.04407956974267521,0.10390367164268041,0.04407956974267521,0.10390367164268041,NA,NA
8,chatbot,medium,0.05890514159333201,0.01344285217444827,Inf,0.03255763548191745,0.08525264770474657,0.03255763548191745,0.08525264770474657,NA,NA
9,chatbot,medium,0.0831200696911855,0.016782677586667148,Inf,0.05022662605717031,0.1160135133252007,0.05022662605717031,0.1160135133252007,NA,NA
10,chatbot,medium,0.03330096632063376,0.009615867756284294,Inf,0.014454211838216567,0.05214772080305095,0.014454211838216567,0.05214772080305095,NA,NA
11,chatbot,medium,0.044846135070804816,0.011982869345463809,Inf,0.021360142722246706,0.06833212741936293,0.021360142722246706,0.06833212741936293,NA,NA
12,chatbot,medium,0.034506945711086465,0.010478513051663774,Inf,0.013969437518292577,0.05504445390388035,0.013969437518292577,0.05504445390388035,NA,NA
13,chatbot,medium,0.03405046663739392,0.011443682164195185,Inf,0.011621261745047979,0.05647967152973986,0.011621261745047979,0.05647967152973986,NA,NA
14,chatbot,medium,0.011530704656849897,0.00515320367492401,Inf,0.0014306110489993862,0.021630798264700407,0.0014306110489993862,0.021630798264700407,NA,NA
15,chatbot,medium,0.008337661419512782,0.004287594465337773,Inf,-6.586931286252026e-5,0.016741192151888084,-6.586931286252026e-5,0.016741192151888084,NA,NA
16,chatbot,medium,0.0021994027642067704,0.0015297302986972512,Inf,-7.988135272995402e-4,0.0051976190557130805,-7.988135272995402e-4,0.0051976190557130805,NA,NA
17,chatbot,medium,5.524104291325937e-4,5.164280718816206e-4,Inf,-4.597699923608446e-4,0.001564590850626032,-4.597699923608446e-4,0.001564590850626032,NA,NA
18,chatbot,medium,2.869293197467204e-4,3.172329362407717e-4,Inf,-3.348358099950832e-4,9.08694449488524e-4,-3.348358099950832e-4,9.08694449488524e-4,NA,NA
19,chatbot,medium,2.821822708665156e-5,5.279477231851243e-5,Inf,-7.525762522962499e-5,1.316940794029281e-4,-7.525762522962499e-5,1.316940794029281e-4,NA,NA
1,dashboard,medium,0.005160215736178799,0.003492210020414637,Inf,-0.001684390130283775,0.012004821602641373,-0.001684390130283775,0.012004821602641373,NA,NA
2,dashboard,medium,0.03029976682432152,0.012674641194848084,Inf,0.005457926565451562,0.05514160708319148,0.005457926565451562,0.05514160708319148,NA,NA
3,dashboard,medium,0.05524768420376888,0.016677504167283606,Inf,0.02256037668387636,0.0879349917236614,0.02256037668387636,0.0879349917236614,NA,NA
4,dashboard,medium,0.08022941314357256,0.01862575108042731,Inf,0.04372361184092704,0.11673521444621807,0.04372361184092704,0.11673521444621807,NA,NA
5,dashboard,medium,0.10075392460026654,0.019069522346584017,Inf,0.06337834759858013,0.13812950160195295,0.06337834759858013,0.13812950160195295,NA,NA
6,dashboard,medium,0.08135542159428756,0.016221369197965407,Inf,0.049562122186347986,0.11314872100222714,0.049562122186347986,0.11314872100222714,NA,NA
7,dashboard,medium,0.07963709544390958,0.015741063992727934,Inf,0.048785176939822573,0.1104890139479966,0.048785176939822573,0.1104890139479966,NA,NA
8,dashboard,medium,0.0711373381740089,0.014945660141415512,Inf,0.04184438257165869,0.1004302937763591,0.04184438257165869,0.1004302937763591,NA,NA
9,dashboard,medium,0.1149781078371959,0.01886161676985457,Inf,0.07801001827808425,0.15194619739630755,0.07801001827808425,0.15194619739630755,NA,NA
10,dashboard,medium,0.05232928127985555,0.013060490843588318,Inf,0.0267311896060073,0.07792737295370379,0.0267311896060073,0.07792737295370379,NA,NA
11,dashboard,medium,0.07867661331603254,0.016274741698572126,Inf,0.046778705729138954,0.11057452090292613,0.046778705729138954,0.11057452090292613,NA,NA
12,dashboard,medium,0.0702483869416351,0.015889423131825155,Inf,0.03910568986814017,0.10139108401513003,0.03910568986814017,0.10139108401513003,NA,NA
13,dashboard,medium,0.08566911406402197,0.0194682815444192,Inf,0.04751198339607453,0.12382624473196942,0.04751198339607453,0.12382624473196942,NA,NA
