no.par,AIC,logLik,LR.stat,df,Pr(>Chisq)
26,2070.3418319906023,-1009.1709159953011,NA,NA,NA
28,2069.876188335705,-1006.9380941678526,4.4656436548971215,2,0.10722543116659893
