term,symbolic_label,parameter_meaning,component,Estimate,Std. Error,z value,Pr(>|z|),estimate,SE,z.ratio,p.value,p.value.raw,conf.low,conf.high,lower.CL,upper.CL
55|60,NA,NA,threshold,3.1083287566450286,0.43626037238396626,7.1249394934942485,1.0412642002245656e-12,3.1083287566450286,0.43626037238396626,7.1249394934942485,1.0412642002245656e-12,1.0412642002245656e-12,2.2532741388904225,3.9633833743996347,2.2532741388904225,3.9633833743996347
60|65,NA,NA,threshold,3.600579512261467,0.44437444301085005,8.102580085087283,5.380570021528587e-16,3.600579512261467,0.44437444301085005,8.102580085087283,5.380570021528587e-16,5.380570021528587e-16,2.7296216083101545,4.4715374162127794,2.7296216083101545,4.4715374162127794
65|70,NA,NA,threshold,3.9243913786766824,0.45163851335136374,8.689231016982827,3.64900966572074e-18,3.9243913786766824,0.45163851335136374,8.689231016982827,3.64900966572074e-18,3.64900966572074e-18,3.0391961584767975,4.809586598876567,3.0391961584767975,4.809586598876567
70|75,NA,NA,threshold,4.449132451127597,0.4690164124142967,9.486091175840432,2.3986024355902562e-21,4.449132451127597,0.4690164124142967,9.486091175840432,2.3986024355902562e-21,2.3986024355902562e-21,3.529877174637391,5.368387727617803,3.529877174637391,5.368387727617803
75|80,NA,NA,threshold,4.882701761291967,0.49118774386895125,9.940601780558007,2.7714775167262336e-23,4.882701761291967,0.49118774386895125,9.940601780558007,2.7714775167262336e-23,2.7714775167262336e-23,3.919991473661338,5.845412048922596,3.919991473661338,5.845412048922596
80|85,NA,NA,threshold,5.1949702189021565,0.5160823051921231,10.066166126289128,7.795792471710392e-24,5.1949702189021565,0.5160823051921231,10.066166126289128,7.795792471710392e-24,7.795792471710392e-24,4.183467487667187,6.206472950137126,4.183467487667187,6.206472950137126
85|90,NA,NA,threshold,5.8501520344325,0.6214837920937778,9.413201291578897,4.812513921071633e-21,5.8501520344325,0.6214837920937778,9.413201291578897,4.812513921071633e-21,4.812513921071633e-21,4.632066184953317,7.068237883911683,4.632066184953317,7.068237883911683
industry_roleMiddle Management,control_role_middle,"Middle Management vs Junior Management, control effect",location,0.2601227375702104,0.26761372226765545,0.9720082190331298,0.33104645970300633,0.2601227375702104,0.26761372226765545,0.9720082190331298,0.33104645970300633,0.33104645970300633,-0.2643905198430988,0.7846359949835197,-0.2643905198430988,0.7846359949835197
industry_roleUpper Management,control_role_upper,"Upper Management vs Junior Management, control effect",location,0.1107187440957215,0.3178862395302787,0.34829674999246235,0.7276173343618313,0.1107187440957215,0.3178862395302787,0.34829674999246235,0.7276173343618313,0.7276173343618313,-0.5123268365644975,0.7337643247559404,-0.5123268365644975,0.7337643247559404
interface_conddashboard,beta1,"dashboard vs chatbot at low DL, adjusted for industry_role",location,1.9574605329534052,0.5221359158261185,3.7489482596812547,1.7757771297903667e-4,1.9574605329534052,0.5221359158261185,3.7489482596812547,1.7757771297903667e-4,1.7757771297903667e-4,0.9340929428993758,2.9808281230074343,0.9340929428993758,2.9808281230074343
dl_ordmedium,beta2,"medium vs low DL within chatbot, adjusted for industry_role",location,0.4080538746508468,0.38750162368814806,1.0530378447633002,0.2923236475547391,0.4080538746508468,0.38750162368814806,1.0530378447633002,0.2923236475547391,0.2923236475547391,-0.35143535172871626,1.1675431010304098,-0.35143535172871626,1.1675431010304098
dl_ordhigh,beta3,"high vs low DL within chatbot, adjusted for industry_role",location,-0.12255709066485915,0.43544340908650714,-0.2814535439219644,0.7783625549956805,-0.12255709066485915,0.43544340908650714,-0.2814535439219644,0.7783625549956805,0.7783625549956805,-0.9760104897797544,0.730896308450036,-0.9760104897797544,0.730896308450036
task_complexitymid,beta6,"task complexity mid vs easy, adjusted for interface, DL, and industry_role",location,0.41354796680843936,0.1272268739004068,3.2504765237898146,0.001152117802166224,0.41354796680843936,0.1272268739004068,3.2504765237898146,0.001152117802166224,0.001152117802166224,0.1641878760980231,0.6629080575188556,0.1641878760980231,0.6629080575188556
task_complexityhard,beta7,"task complexity hard vs easy, adjusted for interface, DL, and industry_role",location,1.534378196352452,0.14224812472646256,10.786632156332464,3.981125432463629e-27,1.534378196352452,0.14224812472646256,10.786632156332464,3.981125432463629e-27,3.981125432463629e-27,1.255576995020224,1.8131793976846802,1.255576995020224,1.8131793976846802
interface_conddashboard:dl_ordmedium,beta4,"change in dashboard-chatbot gap at medium DL vs low DL, adjusted for industry_role",location,-1.1435793850429132,0.5733215660217758,-1.994656145552142,0.04608039549231095,-1.1435793850429132,0.5733215660217758,-1.994656145552142,0.04608039549231095,0.04608039549231095,-2.267269006005696,-0.019889764080130323,-2.267269006005696,-0.019889764080130323
interface_conddashboard:dl_ordhigh,beta5,"change in dashboard-chatbot gap at high DL vs low DL, adjusted for industry_role",location,-0.6269829862108126,0.63041373666508,-0.994557938295545,0.31995131326810333,-0.6269829862108126,0.63041373666508,-0.994557938295545,0.31995131326810333,0.31995131326810333,-1.862571205433687,0.6086052330120618,-1.862571205433687,0.6086052330120618
