model,nobs,logLik,AIC,BIC
additive_adjusted_for_industry_role,402,-1009.1709159953011,2070.3418319906023,2174.2495862946967
interaction_adjusted_for_industry_role,402,-1006.9380941678526,2069.876188335705,2181.776846817038
