dl_ord,interface_cond,emmean,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL,p.value.raw,p.value
low,chatbot,-1.7490179685293157,0.36029849646090606,Inf,-2.4551900452766233,-1.0428458917820078,-2.4551900452766233,-1.0428458917820078,NA,NA
medium,chatbot,-1.3409640938784688,0.20228416586338693,Inf,-1.7374337736134338,-0.9444944141435039,-1.7374337736134338,-0.9444944141435039,NA,NA
high,chatbot,-1.8715750591941749,0.2805949857806953,Inf,-2.421531125566866,-1.3216189928214837,-2.421531125566866,-1.3216189928214837,NA,NA
low,dashboard,0.20844256442408954,0.38397458424806524,Inf,-0.5441337916808588,0.961018920529038,-0.5441337916808588,0.961018920529038,NA,NA
medium,dashboard,-0.5270829459679769,0.18505895760887867,Inf,-0.8897918378979036,-0.16437405403805017,-0.8897918378979036,-0.16437405403805017,NA,NA
high,dashboard,-0.5410975124515822,0.2546256966075979,Inf,-1.0401547073408965,-0.04204031756226789,-1.0401547073408965,-0.04204031756226789,NA,NA
