contrast,task_b,task_a,pred_task_b,pred_task_a,diff_prob,diff_prob_CI_low_boot,diff_prob_CI_high_boot,cohens_h,cohens_h_CI_low_boot,cohens_h_CI_high_boot,logit_effect,SE_robust,z,p_value,OR,OR_CI_low,OR_CI_high,p_value_holm
T2 - T1 (mid - easy),T2,T1,0.8459223571264403,0.8940110954127123,-0.048088738286272026,-0.0938431508138169,-0.0034126087681139853,-0.1435490103597039,-0.2816691769111755,-0.010251351908980633,-0.42973921581318025,0.20612613358420157,-2.084836155128451,0.037084175608944725,0.6506787593305646,0.43442193621246594,0.9745890171551921,0.037084175608944725
T3 - T1 (hard - easy),T3,T1,0.48845796194743535,0.8940110954127123,-0.40555313346527694,-0.44701775743432937,-0.36086649167421475,-0.9306759151302619,-1.0470372998935664,-0.8142378235353734,-2.181317421160355,0.17432626315717273,-12.512844488576441,6.35085697110815e-36,0.11289270539027718,0.0802193422093152,0.15887393961771942,1.905257091332445e-35
T3 - T2 (hard - mid),T3,T2,0.48845796194743535,0.8459223571264403,-0.3574643951790049,-0.40496062463209986,-0.3073210426365819,-0.787126904770558,-0.9072765972813923,-0.6673358714362435,-1.7515782053471747,0.15676771866647649,-11.173079638121541,5.52320759980262e-29,0.1734999087820604,0.12760224835726075,0.2359066453367114,1.104641519960524e-28
