task_code,n,mean,std,median,iqr,task_label
T1,133,0.893786868832818,0.1830791184662992,1.0,0.11383135353111395,easy
T2,134,0.8454908179574876,0.21555931959710198,0.942246901550693,0.23663545402229125,mid
T3,132,0.48750485625485623,0.18589883650392997,0.461858974358974,0.28179945054945077,hard
