interface_cond,task_code,n,mean,std,median,iqr,task_label
dashboard,T1,69,0.8569908450305521,0.1972709748144632,0.886168646468886,0.11383135353111395,easy
dashboard,T2,70,0.827107872011273,0.23376567323225148,0.9395634105760755,0.23707756748211728,mid
dashboard,T3,70,0.5022658294086865,0.1945208805604044,0.4889194139194135,0.2903846153846152,hard
chatbot,T1,64,0.9334575819946358,0.15856253526125844,1.0,0.12054482432557645,easy
chatbot,T2,64,0.8655971650861598,0.19353950111313137,0.942246901550693,0.1734979890052405,mid
chatbot,T3,62,0.4708392414037575,0.17573394637567005,0.4506410256410255,0.26371336996337047,hard
