effect_type,task,task_label,estimate,CI_low_boot,CI_high_boot
PRIMARY adjusted task mean,T1,easy,0.8940110954127123,0.8616493849935123,0.9230602470745787
PRIMARY adjusted task mean,T2,mid,0.8459223571264403,0.8078286119712107,0.8810315438232832
PRIMARY adjusted task mean,T3,hard,0.48845796194743535,0.45664746090750247,0.5213938587713322
