no.par,AIC,logLik,LR.stat,df,Pr(>Chisq)
22,2065.2220249567404,-1010.6110124783702,NA,NA,NA
24,2052.7621425378043,-1002.3810712689021,16.459882418936104,2,2.6655200052588454e-4
