term,component,Estimate,Std. Error,z value,Pr(>|z|),conf.low,conf.high
0|5,threshold,-1.9759335918305185,0.19368760566102006,-10.201652217688487,1.949278282308502e-24,-2.355554323177914,-1.5963128604831232
5|10,threshold,-1.1586491969866575,0.16432246998841382,-7.051069747602701,1.7754746509714634e-12,-1.4807153200146124,-0.8365830739587026
10|15,threshold,-0.6386897667491135,0.15532708236019385,-4.111902168277593,3.9241258830953814e-5,-0.9431252539987801,-0.33425427949944686
15|20,threshold,-0.19811055274688233,0.15208923111865094,-1.3025942158411485,0.19271333354361994,-0.49619996817582657,0.09997886268206191
20|25,threshold,0.2016934764456812,0.1524026569160445,1.3234249358053516,0.18569410384828666,-0.0970102422579801,0.5003971951493424
25|30,threshold,0.4757824527532322,0.15400631783135726,3.0893697054313836,0.002005816657142363,0.17393561641214333,0.777629289094321
30|35,threshold,0.725975798624569,0.15611211819087503,4.6503487816168985,3.31374141979746e-6,0.42000166942019374,1.0319499278289441
35|40,threshold,0.9441110057670619,0.15857442659787266,5.953740625285209,2.620820504347401e-9,0.6333108407661412,1.2549111707679825
40|45,threshold,1.3051560923493983,0.16359716881292682,7.977864787145815,1.4888636215706026e-15,0.9845115335033425,1.6258006511954541
45|50,threshold,1.4798400022559357,0.16622501367178735,8.902631256074924,5.453812504766227e-19,1.1540449621295545,1.8056350423823169
50|55,threshold,1.7675639893022677,0.1710269635827056,10.335001874996776,4.894025280617875e-25,1.4323573002949213,2.102770678309614
55|60,threshold,2.0685408148422533,0.1772809390167397,11.66815127624596,1.8540854762193493e-31,1.7210765592240018,2.4160050704605047
60|65,threshold,2.559313074809811,0.19216666331833337,13.318194897156461,1.8144150182721085e-40,2.1826733356766437,2.9359528139429787
65|70,threshold,2.881184093184412,0.2052698930587842,14.036077333363798,9.376067364656571e-45,2.478862495678807,3.283505690690017
70|75,threshold,3.401321625662281,0.23617635379506885,14.401617990146555,5.054618714468782e-47,2.9384244782239564,3.8642187731006055
75|80,threshold,3.832287693957853,0.27493408211369885,13.93893279616389,3.673926219834934e-44,3.2934267948924254,4.37114859302328
80|85,threshold,4.142147069556384,0.31517947960053794,13.142185128315424,1.8869781628489106e-39,3.5244066408732535,4.759887498239515
85|90,threshold,4.795625836563708,0.46587718108604215,10.293755588939248,7.51854016938225e-25,3.882523340416021,5.708728332711395
interface_conddashboard,location,1.0963827059599482,0.1981486826083272,5.533131442146025,3.1456355824913004e-8,0.7080184244635689,1.4847469874563277
task_complexity.L,location,1.0860547698249832,0.10058870946461487,10.796984826682122,3.5569271627270846e-27,0.8889045220229748,1.2832050176269916
task_complexity.Q,location,0.28800657987924133,0.08945644112764312,3.2195175243814145,0.0012840651200345964,0.11267517708393321,0.46333798267454945
