interface_cond,task_complexity,n,mean,sd,median,iqr
chatbot,easy,64,13.723958333333334,14.175587566246575,8.75,16.041666666666668
chatbot,mid,64,22.721354166666668,18.31061735270828,19.166666666666668,24.375
chatbot,hard,64,39.895833333333336,22.646495459866557,40,36.25
dashboard,easy,70,33.75,22.799160753828307,30,39.375
dashboard,mid,70,34.226190476190474,17.366538144171148,33.333333333333336,25.000000000000004
dashboard,hard,70,51.273809523809526,16.73098785730805,52.5,21.458333333333336
